location_name,tso,country_hint,lat_lon,resistance_ohm,reactance_ohm,susceptance_us,segment_length_km
Mechlenreuth,TENNETGMBH,de,"50.14166666666667, 11.816666666666668",0.67,12.30,236.72,50.78
Meckenheim,AMPRION GMBH,de,"50.618, 7.01087",1.12,10.23,182.00,41.20
Mecklar,TENNETGMBH,de,"50.936825, 9.85815",1.50,12.87,226.08,50.57
Medgidia Sud,TEL,"","44.231086, 28.262243",1.46,18.15,241.00,124.11
Meduric,HOPS,hr,"45.447836, 16.914205",2.27,11.48,75.88,32.40
Medzibrod,SEPS,sk,"48.796984, 19.3665",1.22,15.13,211.35,53.20
Meeden,TENNETGMBH,de,"53.134, 7.025999999999999",0.33,3.85,54.98,9.72
Mehringen,TENNETGMBH,de,"52.86738, 9.18092",1.37,15.38,220.58,53.67
Mehrum,TENNETGMBH,de,"52.3225, 10.0775",2.41,11.29,84.82,29.22
Mehrum/N,TENNETGMBH,de,"52.31535, 10.06679",0.54,5.02,89.57,19.97
Meiningen,TRANSNETBW,de,"47.226252, 9.728278150000001",0.37,4.49,52.40,0.00
Meissen,TENNETGMBH,de,"51.99, 8.48",0.85,3.31,41.82,11.12
Meitingen,TENNETGMBH,de,"48.4829, 10.99815",0.54,6.23,112.95,49.85
Melina,HOPS,hr,"45.34341431944444, 14.718334319444445",1.02,10.86,117.73,25.74
Mengede,AMPRION GMBH,de,"51.580799999999996, 7.3581",0.72,6.17,107.20,24.57
Meppen,TENNETGMBH,de,"52.78113333333334, 7.309133333333333",0.26,2.88,38.48,33.28
Merzen,AMPRION GMBH,de,"52.3122, 8.09933",0.63,5.98,104.00,23.82
Mettmann,AMPRION GMBH,de,"51.2592, 7.007499999999999",0.78,7.50,130.60,29.89
Metzingen,TRANSNETBW,de,"48.4691, 9.296483333333333",0.24,0.36,5.84,2.71
Mezocsat,MAVIR,hu,"47.7847768, 20.9369524",1.48,8.76,49.64,19.48
Milin,CEPS,cz,"49.59512, 14.0709108",3.81,25.85,150.00,59.30
Mintia,TEL,"","45.91938414285715, 22.83398114285714",1.33,7.84,50.00,19.00
Mirovka,CEPS,cz,"49.5834083, 15.5963633",2.34,26.61,337.00,88.40
Mitte,50HERTZ,de,"52.5084, 13.373899999999999",0.27,2.37,769.69,10.69
Mittelbexbach,AMPRION GMBH,de,"49.37526666666667, 7.242776666666667",1.19,10.19,177.00,40.56
Mochovce,SEPS,sk,"48.26834900000001, 18.465600000000002",0.16,2.06,28.65,6.90
Moldava,SEPS,sk,"48.601726, 21.044531",0.26,3.33,48.41,11.90
Mostar,HOPS,hr,"43.30311, 17.76972",3.79,19.79,129.70,49.46
Mraclin,HOPS,hr,"45.672534999999996, 16.117386",2.11,10.82,73.39,26.40
Muehlhausen,TRANSNETBW,de,"48.77, 9.27",0.24,2.43,8.94,8.90
Muendelheim,AMPRION GMBH,de,"51.356700000000004, 6.72472",0.32,1.66,21.80,5.74
Muenster,AMPRION GMBH,de,"51.9285, 7.5913",0.21,1.08,12.80,3.55
Muhlbach,TRANSNETBW,de,"47.90735481320735, 7.555916921111654",0.38,4.10,70.34,17.38
Mukacevo,TEL,"","48.444732, 22.717409",2.02,19.03,189.18,39.00
Mukachevo,SEPS,sk,"48.3751671, 22.5592729",0.83,8.70,87.80,12.44
Munteni,TEL,"","46.588273, 27.751486",5.28,31.20,200.00,74.00
Mutterstadt,AMPRION GMBH,de,"49.4251, 8.35594",0.33,1.88,20.50,6.00
NAOUTOT,RTE,fr,"43.8696284267528, -0.507990263984023",2.19,14.70,103.74,36.79
NAREW,PSE,pl,"53.02, 23.06",2.24,24.26,303.00,80.00
NEMO CONVERTOR STATION,ELIA,be,"51.26497, 3.2101",0.01,0.05,56.19,0.76
NEMOURS,RTE,fr,"48.2351667148064, 2.6878292734482",1.68,11.50,81.95,28.56
NEOULES,RTE,fr,"43.284571377877, 6.029889507930919",1.09,6.57,48.08,16.59
NEUVES-MAISONS,RTE,fr,"48.6109557739277, 6.11219334400443",0.33,3.56,38.10,10.82
NIORT,RTE,fr,"46.3486418988264, -0.43359981914126305",1.60,10.69,76.53,26.68
NOGENTEL,RTE,fr,"49.0237369853135, 3.40630898860318",2.26,15.02,108.75,37.72
NOSOVICE,PSE,pl,"49.89356015, 18.4856943",1.34,12.82,160.90,48.12
NOUROTTES,RTE,fr,"48.9671258023395, 2.01259329465638",0.69,4.59,44.24,11.65
NOVION,RTE,fr,"48.9241145812334, 2.3145648208777896",0.11,0.92,358.30,5.48
NYSA,PSE,pl,"50.5, 17.4",2.95,21.96,141.40,52.10
Nadab,TEL,"","46.53623111, 21.379853609999998",0.66,5.60,86.86,20.80
Nauders,APG,at,"46.868708, 10.516418",1.21,17.66,209.83,56.70
Neckarwestheim,TRANSNETBW,de,"49.04, 9.21",0.01,0.05,0.31,0.07
Nehden,TENNETGMBH,de,"51.4016, 8.749536666666666",0.46,4.23,74.50,10.99
Neuenhagen,50HERTZ,de,"52.542844444444455, 13.709144444444444",2.36,22.45,442.51,92.26
Neufinsing,TENNETGMBH,de,"48.17666666666667, 11.816666666666668",0.89,9.74,138.54,32.77
Neurott,TRANSNETBW,de,"49.362857142857145, 8.622857142857141",0.20,2.06,33.33,7.50
Neusiedl,MAVIR,hu,"47.86560270333334, 17.123928853333336",3.30,17.15,109.64,58.90
Neznasov,CEPS,cz,"50.3383211, 15.8371808",1.58,20.53,260.00,68.30
Niederlangen,TENNETGMBH,de,"52.86, 7.28",0.01,0.09,1.21,0.33
Niederrhein,AMPRION GMBH,de,"51.649122222222225, 6.686942222222223",0.79,7.19,122.00,28.28
Niederrhein ,TENNET NL,nl,"51.651900000000005, 6.68972",0.47,7.20,130.78,22.18
Niederstedem,Creos,lu,"49.90939875, 6.474411249999999",1.88,9.27,235.62,45.00
Niederstotzingen,TRANSNETBW,de,"48.54, 10.23",0.01,0.06,0.82,0.20
Niedervieland,TENNETGMBH,de,"53.02, 8.6",0.36,4.14,61.18,15.07
Nordlicht,AMPRION GMBH,de,"51.5658, 6.90722",1.07,10.13,168.40,39.44
Norf,AMPRION GMBH,de,"51.1619, 6.78722",1.72,9.35,115.80,31.42
Nosovice,SEPS,sk,"49.67045363333333, 18.434721933333332",0.48,5.01,58.00,16.50
OFFSHORE SWITCHYARD,ELIA,be,"51.58455, 2.880316666666667",0.17,0.45,326.23,4.26
OFFSHORE SWITCHYARD (RENTEL),ELIA,be,"51.57556, 2.91888",0.17,0.45,326.23,4.26
OFFSHORE WINDPARK,ELIA,be,"51.56664, 2.954625",0.33,2.99,2445.42,28.00
OFFSHORE WINDPARK (MERMAID),ELIA,be,"51.71196, 2.72378",1.24,2.80,1160.18,21.22
OFFSHORE WINDPARK (NORTHWESTER II),ELIA,be,"51.68817, 2.75933",0.36,1.61,1042.98,13.84
OFFSHORE WINDPARK (SEASTAR),ELIA,be,"51.62419, 2.84438",0.40,0.92,379.37,6.94
OLSZTYN,PSE,pl,"53.79999999999999, 20.53",0.37,3.77,51.78,14.20
OLSZTYN MATKI,PSE,pl,"53.83, 20.35",0.37,3.77,51.78,14.20
OLSZTYN-MATKI,PSE,pl,"53.83, 20.35",3.70,37.86,527.72,136.10
OLTARZEW,PSE,pl,"52.21, 20.76",0.57,4.27,25.83,9.90
ONET-LE-CHATEAU,RTE,fr,"44.3872666450401, 2.60730584884703",2.94,20.10,142.95,49.98
ORANGERIE (L),RTE,fr,"46.8445772042825, 0.576382712111088",1.28,5.91,41.33,14.14
ORMES,RTE,fr,"49.2359824471577, 3.97513849128451",1.31,8.74,61.12,21.66
OSTROLEKA,PSE,pl,"53.11333333333334, 21.623333333333335",1.04,11.18,142.44,37.30
OSTROW,PSE,pl,"51.64, 17.85",2.69,33.43,435.12,112.50
OSTROW WLKP,PSE,pl,"51.64, 17.85",2.18,25.58,262.28,77.00
OSTROWIEC,PSE,pl,"50.95, 21.38",1.86,20.80,211.60,62.20
OTTMARSHEIM,RTE,fr,"47.7742606646856, 7.519433448515",0.67,4.47,32.51,11.22
OUDON,RTE,fr,"47.99310189707717, -1.0019750237193235",1.15,14.51,239.03,46.86
OXYLUX ,ELIA,be,"49.496946, 5.952352",0.22,1.12,14.31,1.00
Oberbachern,TENNETGMBH,de,"48.34816, 11.27756",0.54,6.23,112.95,49.85
Oberbrunn,TENNETGMBH,de,"48.06, 11.3",1.78,21.99,251.01,71.41
Oberhaid,TENNETGMBH,de,"49.995, 10.85",0.91,10.63,193.23,43.34
Oberjettingen,TRANSNETBW,de,"48.59, 8.79",0.05,0.10,1.57,0.02
Obermooweiler,TRANSNETBW,de,"47.665, 9.805",0.47,4.67,82.64,18.20
Oberottmarshausen,AMPRION GMBH,de,"48.2397, 10.8419",0.96,9.01,152.00,35.34
Obersielach,ELES,si,"46.62150588888889, 14.741245416666667",1.99,13.55,78.56,32.75
Oberwald,TRANSNETBW,de,"48.99, 8.45",0.18,0.89,10.62,2.63
Oberzier,TENNET NL,nl,"50.8626, 6.4125411111111115",0.73,7.15,120.44,10.50
Ocsa,MAVIR,hu,"47.32682777666667, 19.212052776666667",1.69,8.78,103.99,28.23
Oechtel,AMPRION GMBH,de,"52.3195, 7.27836",0.01,0.06,1.40,0.29
Oftringen,TRANSNETBW,de,"47.317, 7.9064",1.29,9.13,141.97,22.18
Ohlensehlen,TENNETGMBH,de,"52.49093333333334, 8.659736666666667",0.88,8.01,134.53,22.42
Ohligs,AMPRION GMBH,de,"51.184200000000004, 7.01861",0.01,0.08,1.50,0.33
Okroglo,ELES,si,"46.26750277777778, 14.3325",0.93,9.89,152.90,31.38
Oostzaan,TENNET NL,nl,"52.435, 4.885",0.00,0.00,65.42,0.00
Opladen,AMPRION GMBH,de,"51.076433333333334, 6.971163333333334",0.23,1.32,81.60,9.90
Opocinek,CEPS,cz,"50.0311943, 15.6488028",6.10,28.23,177.00,71.30
Oradea Sud,TEL,"","47.022076, 21.947465",2.35,21.06,283.90,33.60
Oroszlany,MAVIR,hu,"47.50236389, 18.26715278",1.43,15.45,174.14,48.90
Osburg,AMPRION GMBH,de,"49.725, 6.81306",1.45,12.34,214.60,49.14
Ossenberg,AMPRION GMBH,de,"51.5565, 6.5771",0.88,5.20,47.60,15.02
Osterath,AMPRION GMBH,de,"51.263400000000004, 6.62756",1.72,9.35,115.80,31.42
Ostroleka,PSE,pl,"53.11, 21.62",2.15,30.30,411.12,104.10
Oststeiermark,APG,at,"47.091342, 15.726084",2.51,42.47,735.13,165.00
Otelarie H,TEL,"","45.78219, 22.9165",0.53,3.12,20.00,7.00
Otrokovice,CEPS,cz,"49.2193025, 17.5595769",1.10,11.20,134.00,37.70
Ottenhofen,TENNETGMBH,de,"48.22666666666667, 11.936666666666667",1.20,13.13,166.82,44.12
Otterbach,AMPRION GMBH,de,"49.4828, 7.73",1.19,10.19,177.00,40.56
Oudehaske,TENNET NL,nl,"52.980000000000004, 5.88",0.68,7.49,125.26,28.49
Ovenstaedt,TENNETGMBH,de,"52.405, 8.934999999999999",1.37,15.38,220.58,53.67
P. Biskupice,SEPS,sk,"48.111787, 17.21922",0.96,12.19,173.70,43.00
P. Bystrica,SEPS,sk,"49.116039, 18.42623",5.85,28.20,180.24,67.00
P. Bystrica ,SEPS,sk,"49.116039, 18.42623","","","",""
PABIANICE,PSE,pl,"51.655, 19.365",1.39,8.09,50.97,19.00
PALENTE,RTE,fr,"47.274154997838565, 6.060772689228987",0.56,3.20,22.83,7.96
PALUN (LA),RTE,fr,"43.474738849612805, 5.494318312909199",0.91,6.12,43.72,15.60
PARISET,RTE,fr,"45.1805886911283, 5.70003024153448",0.12,0.78,18.00,2.04
PASIKUROWICE,PSE,pl,"51.214, 17.124000000000002",2.18,25.58,262.28,77.00
PASSY,RTE,fr,"45.916012197407, 6.72524615163172",2.32,10.29,79.89,26.30
PATIS,RTE,fr,"49.391988840808, 2.10067836081814",1.16,7.76,95.54,19.88
PATNOW,PSE,pl,"52.30444444444444, 18.244444444444444",0.29,1.70,11.47,4.10
PELISSIER,RTE,fr,"43.9549122935886, 2.13823682983472",0.98,6.55,47.50,16.58
PELPLIN,PSE,pl,"54.16, 18.450000000000003",1.01,12.88,192.02,44.00
PENCHARD,RTE,fr,"48.9987800172004, 2.84761614847457",0.20,1.62,15.87,4.72
PENLY (POSTE EVACUATION),RTE,fr,"49.9734448344671, 1.2324073135988",0.71,12.09,210.69,30.36
PERIZET (LE),RTE,fr,"50.0844572734602, 3.36452138801189",2.22,10.24,71.29,24.74
PERTAIN,RTE,fr,"49.7954698112995, 2.8571843554264",1.08,4.94,50.36,12.17
PESSAC,RTE,fr,"44.792121109675705, -0.662119590179123",0.83,5.54,42.59,13.88
PETITE-ROSSELLE,RTE,fr,"49.1970753957055, 6.88193516648899",1.42,6.32,62.86,15.83
PEYRAT-LE-CHATEAU,RTE,fr,"45.8019941948817, 1.80422098150007",2.67,14.73,97.88,35.57
PIASECZNO,PSE,pl,"52.09, 21.03",1.85,12.27,87.64,30.80
